mag_mean,mag_std,mag_var,mag_rms,sma,x_mean,y_mean,z_mean,x_std,y_std,z_std,corr_xy,corr_xz,corr_yz,dom_freq,spec_energy,session_id,activity,start_index,n_samples
3.321822454234421,2.1191355028065235,4.490735279255057,3.9402080778445,3.321822454234421,0.15052457669070948,0.08271326974173572,0.6246982422944541,1.5299081967657098,1.3549320591808933,3.3059087546511168,-0.11423056892814983,0.0630113896925161,0.3837124814500015,0.07476635514018691,169.7958880286533,c:\Users\HP\Hidden-Markov-Models\samples\Kanisa\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,jumping,0,107
5.200120257157693,2.606215695459536,6.792360251259632,5.816666651971852,5.200120257157693,0.0321704987610612,-0.5705357377774247,0.29116199841009116,2.2546913413434666,2.0877023624435087,4.896953692132499,-0.35876784865549594,0.14861957981852894,0.04721128791194861,0.009345794392523364,339.3864540126198,c:\Users\HP\Hidden-Markov-Models\samples\Kanisa\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,jumping,107,107
4.833877726366252,2.8208717699784422,7.957317542661309,5.596757223260722,4.833877726366252,0.19895524162555409,-0.15069913362788262,-0.0867859225406825,1.7113739145413331,2.745812551594345,4.559120415042552,0.144913557440695,0.34708459076816256,0.651451550974999,0.018691588785046728,419.43275801748587,c:\Users\HP\Hidden-Markov-Models\samples\Kanisa\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,jumping,214,107
6.457206770352379,3.6006536289750417,12.964706555851137,7.3932554284926315,6.457206770352379,0.08276994401049391,0.054349050134698935,0.11341381518640255,3.2817444577574126,3.3956454145297568,5.686589838149057,0.23070960661458495,0.48831177806907883,0.4790862944412977,0.06542056074766354,579.5081831292688,c:\Users\HP\Hidden-Markov-Models\samples\Kanisa\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,jumping,321,107
7.2373853916316335,3.3762267777635135,11.398907254887398,7.986153928011304,7.2373853916316335,0.12985913970760096,-0.8223303790404418,-0.2165308043221447,1.8986853483100443,6.392522084803237,4.3092149711550976,0.15579295082168376,0.29781711626705315,0.8157000256799799,0.06542056074766354,575.8354293757424,c:\Users\HP\Hidden-Markov-Models\samples\Kanisa\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,jumping,428,107
1.2516083254852162,0.8033818080756422,0.6454223295468879,1.4872611505619298,1.2516083254852162,0.042686515587825914,-0.20803701849741357,-0.20920590990196877,1.0835461663721047,0.8970381479715575,0.37990438794338094,0.17408372669986277,0.008246320024145114,-0.08501931802758309,0.037383177570093455,25.889201598391303,c:\Users\HP\Hidden-Markov-Models\samples\Kanisa\Jumping_1-2025-10-24_13-03-55\Gyroscope.csv,jumping,0,107
2.55803808257841,0.9966461695906627,0.9933035873597399,2.7453346643498984,2.55803808257841,-0.20871994306690225,-0.3447362190225623,-0.6582350223281673,1.9227096741253018,1.4937855296069318,1.0064662437875886,0.030767770016883057,-0.28039047934037575,0.22158378793610184,0.037383177570093455,50.91304169840279,c:\Users\HP\Hidden-Markov-Models\samples\Kanisa\Jumping_1-2025-10-24_13-03-55\Gyroscope.csv,jumping,107,107
1.7020610312550162,0.9290463782713229,0.8631271729790619,1.939107765725245,1.7020610312550162,0.3782243484404878,-0.4310133985992277,-0.576953796991887,1.429741939266398,0.9068511099540437,0.4815559024507809,-0.27244450650528523,0.11012826839403331,0.06124727386728971,0.018691588785046728,41.86523250727665,c:\Users\HP\Hidden-Markov-Models\samples\Kanisa\Jumping_1-2025-10-24_13-03-55\Gyroscope.csv,jumping,214,107
2.9312397381392348,1.3212481216540093,1.7456965989742477,3.215254733519697,2.9312397381392348,-0.025868238707151357,-0.20705152912256874,-0.720541443758444,2.8508370420592613,1.0084477548254305,0.7942951675365127,-0.06038943007708805,0.006465010734146671,0.35104004568519476,0.009345794392523364,93.24741045289286,c:\Users\HP\Hidden-Markov-Models\samples\Kanisa\Jumping_1-2025-10-24_13-03-55\Gyroscope.csv,jumping,321,107
1.6967140959566764,0.8714332020754643,0.7593958256794969,1.9074156728667138,1.6967140959566764,0.018134881237469543,-0.09566753096530371,-0.2643013346122108,1.1790036782364774,1.2749907049323108,0.7370530728939094,-0.05494206693782431,-0.2926191328193604,-0.2192757099256783,0.009345794392523364,38.60226473808153,c:\Users\HP\Hidden-Markov-Models\samples\Kanisa\Jumping_1-2025-10-24_13-03-55\Gyroscope.csv,jumping,428,107
5.148124982052963,3.325173534110078,11.056779031946105,6.128618919690138,5.148124982052963,-0.31276645560130895,0.26320633709987745,-0.1336064338684082,1.8141024283320306,1.109564795660457,5.7317464263280815,0.1777896125092342,0.041468530435289724,-0.08447550810356357,0.06542056074766354,549.0473771096413,c:\Users\HP\Hidden-Markov-Models\samples\Kanisa\Jumping_1-2025-10-25_05-20-38\Accelerometer.csv,jumping,0,107
6.235244573654014,2.8362194614056935,8.044140833256401,6.849993848649664,6.235244573654014,0.23588458135306278,0.25095828866290154,0.6295706223104601,2.6992662469818076,1.8643655625475868,5.97038840753133,-0.18202012226500724,0.3518480390760211,-0.29390853696588926,0.06542056074766354,427.2443162382483,c:\Users\HP\Hidden-Markov-Models\samples\Kanisa\Jumping_1-2025-10-25_05-20-38\Accelerometer.csv,jumping,107,107
