acc_mag_mean,acc_mag_std,acc_mag_var,acc_x_mean,acc_x_std,acc_x_var,acc_y_mean,acc_y_std,acc_y_var,acc_z_mean,acc_z_std,acc_z_var,acc_SMA,acc_corr_xy,acc_corr_xz,acc_corr_yz,acc_dom_freq,acc_spec_energy,acc_top3_energy_ratio,gyro_mag_mean,gyro_mag_std,gyro_mag_var,gyro_x_mean,gyro_x_std,gyro_x_var,gyro_y_mean,gyro_y_std,gyro_y_var,gyro_z_mean,gyro_z_std,gyro_z_var,gyro_SMA,gyro_corr_xy,gyro_corr_xz,gyro_corr_yz,gyro_dom_freq,gyro_spec_energy,gyro_top3_energy_ratio,SourceFile,Activity
0.054523080813162254,2.257023589718098,5.094155484543969,0.054523080813162254,2.257023589718098,5.094155484543969,,,,0.1340203016293972,4.5083788367950035,20.325479736061066,1.6414434689815196,,0.24561904038677396,,1.9967234165807635,898697.6702281946,0.17695664079971055,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,Jumping
,,,,,,,,,,,,,,,,,,,0.04398434372032406,1.7687574566191386,3.128502940345804,0.04398434372032406,1.7687574566191386,3.128502940345804,,,,-0.42840343176525225,0.743147014639364,0.552267485367399,1.3463140435772398,,-0.1093464180844467,,1.9967234165807635,551924.0619320605,0.40251334028283614,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-24_13-03-55\Gyroscope.csv,Jumping
0.07256033952269118,2.2024612990041077,4.850835773610862,0.07256033952269118,2.2024612990041077,4.850835773610862,,,,-0.002831849821285057,5.4956198999194426,30.201838084390584,1.6858801486321269,,0.2738591257034685,,1.8657110727765698,813090.2294792748,0.22044337546969603,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-25_05-20-38\Accelerometer.csv,Jumping
,,,,,,,,,,,,,,,,,,,0.041977948539718236,1.989940638392706,3.9598637443267704,0.041977948539718236,1.989940638392706,3.9598637443267704,,,,-0.12186956493021511,0.7822625556437243,0.6119347059622509,1.6452167349222513,,-0.0067745194236189165,,1.8657110727765698,663754.2520069445,0.6949105316046157,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-25_05-20-38\Gyroscope.csv,Jumping
0.09596312603474978,2.1130188011988533,4.464848454219839,0.09596312603474978,2.1130188011988533,4.464848454219839,,,,-0.07054203967837726,4.8361513409257,23.38835979233745,1.579468846827855,,0.12340022866274361,,3.866130956086335,660580.2633855544,0.19746385816657713,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-25_05-28-36\Accelerometer.csv,Jumping
,,,,,,,,,,,,,,,,,,,0.05436793487495058,1.784787545754212,3.1854665834793434,0.05436793487495058,1.784787545754212,3.1854665834793434,,,,-0.3284231802745661,0.6536046131543775,0.42719899033668346,1.4657569139629179,,-0.22482784333647157,,1.883499696555061,471345.9949777325,0.48047565570173667,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-25_05-28-36\Gyroscope.csv,Jumping
0.07013210765533633,2.02393218351208,4.096301483455975,0.07013210765533633,2.02393218351208,4.096301483455975,,,,-0.060808904759295575,5.149824442030058,26.520691783730197,1.5652985304303757,,0.24755443609737313,,1.9855962149572897,437144.24741587654,0.27321807363325484,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-25_05-36-41\Accelerometer.csv,Jumping
,,,,,,,,,,,,,,,,,,,0.05128511103155739,1.805654546209128,3.2603883402456924,0.05128511103155739,1.805654546209128,3.2603883402456924,,,,0.17422702913846394,0.810019760753694,0.6561320128114717,1.502264385099561,,0.19534205082476436,,1.9856483071002589,349462.6293202455,0.7001538106698093,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-25_05-36-41\Gyroscope.csv,Jumping
-0.007746878016992394,1.9219571447355701,3.693919266200105,-0.007746878016992394,1.9219571447355701,3.693919266200105,,,,-0.033233471125720504,3.8521073957656395,14.838731388512336,1.4988019876033662,,0.19459784966697072,,2.0416601080854466,465427.78573451174,0.29617944807304614,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-25_05-43-47\Accelerometer.csv,Jumping
,,,,,,,,,,,,,,,,,,,0.02652972518462702,1.7769578640123334,3.1575792504752744,0.02652972518462702,1.7769578640123334,3.1575792504752744,,,,-0.1856735345881536,0.76175462302877,0.5802701057057035,1.4578987825068226,,-0.01459757953888885,,2.0416601080854955,397861.2082850643,0.6789367193450918,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-25_05-43-47\Gyroscope.csv,Jumping
0.2667642666865851,3.238441696490575,10.487504621568752,0.2667642666865851,3.238441696490575,10.487504621568752,,,,-0.0035578135315698658,5.361521792687151,28.74591593345924,2.274080916613568,,0.32567275553158237,,1.8528805597725864,1439808.4244821658,0.2701016459626391,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_2-2025-10-25_05-21-14\Accelerometer.csv,Jumping
,,,,,,,,,,,,,,,,,,,0.015649024588642427,1.8406232952027786,3.3878941148431347,0.015649024588642427,1.8406232952027786,3.3878941148431347,,,,-0.01636071029458664,0.8976327424254741,0.8057445402742774,1.545284295443513,,-0.25995793747381973,,1.8528805597725864,465116.89151560835,0.5547831815816457,c:\Users\HP\Hidden-Markov-Models\Jumping_2-2025-10-25_05-21-14\Gyroscope.csv,Jumping
