acc_mag_mean,acc_mag_std,acc_mag_var,acc_x_mean,acc_x_std,acc_x_var,acc_y_mean,acc_y_std,acc_y_var,acc_z_mean,acc_z_std,acc_z_var,acc_SMA,acc_corr_xy,acc_corr_xz,acc_corr_yz,acc_dom_freq,acc_spec_energy,acc_top3_energy_ratio,gyro_mag_mean,gyro_mag_std,gyro_mag_var,gyro_x_mean,gyro_x_std,gyro_x_var,gyro_y_mean,gyro_y_std,gyro_y_var,gyro_z_mean,gyro_z_std,gyro_z_var,gyro_SMA,gyro_corr_xy,gyro_corr_xz,gyro_corr_yz,gyro_dom_freq,gyro_spec_energy,gyro_top3_energy_ratio,SourceFile,Activity,win_start,win_end
0.20201518359007659,0.6934465123803099,0.4808680655324153,0.20201518359007659,0.6934465123803099,0.4808680655324153,,,,1.0247376671543829,2.671757894829171,7.1382902485820034,0.6102711271356653,,-0.1609065948848509,,1.0332694603286088,700.9013466721217,0.799711313279436,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,Jumping,0.209738525390625,1.209738525390625
0.027044895622465346,1.5366789657141955,2.3613822436684493,0.027044895622465346,1.5366789657141955,2.3613822436684493,,,,0.09408375951978895,3.107110523797094,9.654135807090652,1.155905294197577,,0.3153171846766041,,4.132860987144361,3442.8098732687067,0.6605953121420008,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,Jumping,0.709738525390625,1.709738525390625
0.09847715828153822,2.0375676291362157,4.15168184330378,0.09847715828153822,2.0375676291362157,4.15168184330378,,,,0.1551145182715522,3.794471154906736,14.39801134541926,1.6285990564911454,,0.11468104205561612,,4.133077841314423,6052.941432297693,0.8134673076795936,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,Jumping,1.209738525390625,2.209738525390625
0.14137688941425747,2.142902597397689,4.592031541933762,0.14137688941425747,2.142902597397689,4.592031541933762,,,,0.5028038378115054,4.298459823141846,18.476756851164627,1.7729802584206615,,0.02468964059271063,,4.132860987144385,6693.757090115029,0.7052152427837824,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,Jumping,1.709738525390625,2.709738525390625
-0.12082916829321119,1.895913804578699,3.5944891543920767,-0.12082916829321119,1.895913804578699,3.5944891543920767,,,,-0.13951748830300795,4.3764017916644615,19.152892642083913,1.5556590347378343,,-0.09262470561821957,,3.099808380985817,5240.718121256491,0.7627620722912709,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,Jumping,2.209738525390625,3.209738525390625
-0.32801985685472135,2.3455069436233553,5.501402822585373,-0.32801985685472135,2.3455069436233553,5.501402822585373,,,,0.2803383270899455,4.1618495242779785,17.320991462732835,1.7566730495956209,,-0.18556128665479638,,4.132860987144385,8019.125823181102,0.5311246319935817,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,Jumping,2.709738525390625,3.709738525390625
0.16567867713154488,2.565499817398963,6.581789313074113,0.16567867713154488,2.565499817398963,6.581789313074113,,,,0.9824679122780854,5.466503661346875,29.882662279518797,1.9532563804455523,,0.26638060966436883,,5.372860234800375,9242.71206315155,0.6733083380597237,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,Jumping,3.209738525390625,4.209738525390625
0.25552818122899756,1.72563331016976,2.977810321167443,0.25552818122899756,1.72563331016976,2.977810321167443,,,,0.25768931406848833,5.949958054218034,35.40200084695405,1.3440734091794715,,0.45446080986054216,,2.14914409392015,4170.151732662556,0.597845902141545,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,Jumping,3.709738525390625,4.709738525390625
-0.055841251655861186,1.586041977514873,2.5155291544392893,-0.055841251655861186,1.586041977514873,2.5155291544392893,,,,0.08706031022248441,5.468068337884114,29.899771347770734,1.1145055956310697,,0.42677916839143837,,2.066430493572242,3665.2381912827427,0.7010161222078715,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,Jumping,4.209738525390625,5.209738525390625
0.2081544655892584,1.4663369873086582,2.1501441603494325,0.2081544655892584,1.4663369873086582,2.1501441603494325,,,,-0.11280391834400318,4.63730062678971,21.504557103224233,1.0294773388240073,,0.4841081886965199,,2.0665389206572113,3134.7911632805685,0.6144405863440556,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,Jumping,4.709738525390625,5.709738525390625
0.36127351803912056,1.8828343202620994,3.545065077556842,0.36127351803912056,1.8828343202620994,3.545065077556842,,,,-0.7205206023322211,3.2914347281768204,10.833542569848419,1.3823766126124948,,0.4692469043644063,,2.066430493572242,5168.599770758224,0.5873441274174008,,,,,,,,,,,,,,,,,,,,c:\Users\HP\Hidden-Markov-Models\Jumping_1-2025-10-24_13-03-55\Accelerometer.csv,Jumping,5.209738525390625,6.209738525390625
